date,period_label,period,name,autor,comment,category,theme,wiki
-200000,Préhistoire,1,apparition d’homo Sapiens en éthiopie,,ancêtre commun,,,
-4000,Préhistoire,1,début âge du bronze en Anatolie,,,,,
-3500,Préhistoire,1,Premier système écriture sumérien,,,,,
-3500,Préhistoire,1,Début âge du bronze en Europe,,,,,
-3300,Première antiquité,2,Début de l'écriture par les mésopotamiens,,,,,.
-1600,Première antiquité,2,Texte d’anitta,,plus vieux texte indo-européen (culture hittite),,,
-850,Première antiquité,2,Illiade,Homère,entre -850 et -750,LI,"""[""histoire grecque""]""",
-800,Première antiquité,2,début âge du fer en anatolie,,,,,
-753,Première antiquité,2,Fondation légendaire de la ville par Romulus,,,,"""[""histoire de Rome""]""",
-595,VIème siècle av-jc,3,réforme de Solon,,Tout le monde à accès à l’Ecclesia qui nomme magistrat,,"""[""histoire grecque""]""",
-560,VIème siècle av-jc,3,début de la tyrannie de Pisistrate,,,,"""[""histoire grecque""]""",
-532,VIème siècle av-jc,3,Fondation de l’école par Pythagore à Crotone,,(580-495),,"""[""histoire grecque""]""",
-527,VIème siècle av-jc,3,mort de Pisistrate,,,,"""[""histoire grecque""]""",
-514,VIème siècle av-jc,3,mort d’Hipparque par les Tyrannoctones,,,,"""[""histoire grecque""]""",
-510,VIème siècle av-jc,3,fin de la tyrannie d’Hippias,,grace aux lacédémoniens par les Alcméonides,,"""[""histoire grecque""]""",
-509,VIème siècle av-jc,3,fin de la royauté à Rome et début de la République,,,,"""[""histoire de Rome""]""",
-508,VIème siècle av-jc,3,Réformes de Clisthène pour réinstaurer la démocratie,,,,"""[""histoire grecque""]""",
-500,VIème siècle av-jc,3,age du fer en Europe,,,,,
-500,VIème siècle av-jc,3,Acmée de Parménide,,"(fin VI, milieu V)",,"""[""histoire grecque""]""",
-469,Vème siècle av-jc,4,Naissance de Socrate,,,PH,"""[""histoire grecque""]""",
-461,Vème siècle av-jc,4,Début du Siècle de Périclès,,,,"""[""histoire grecque""]""",
-454,Vème siècle av-jc,4,Transfert du trésor de la ligue de Délos à Athènes,,,,"""[""histoire grecque""]""",
-458,Vème siècle av-jc,4,Agamemnon,,(524-456),,"""[""histoire grecque""]""",
-450,Vème siècle av-jc,4,Mort d’Héraclite,,(510-450 Ephèse),PH,"""[""histoire grecque""]""",
-442,Vème siècle av-jc,4,Antigone,Sophocle,(495-406),LI,"""[""histoire grecque""]""",
-431,Vème siècle av-jc,4,Début de la première guerre contre Sparte,,(fin du Siècle Périclès),,"""[""histoire grecque""]""",
-429,Vème siècle av-jc,4,Mort de Périclès,,(typhus),,"""[""histoire grecque""]""",
-428,Vème siècle av-jc,4,Naissance de Platon,,,PH,"""[""histoire grecque""]""",
-425,Vème siècle av-jc,4,Mort d’Hérodote Historiai,,(histoire perse/Grec),,"""[""histoire grecque""]""",
-421,Vème siècle av-jc,4,défaite d’Amphipolis et paix de Nicias avec Sparte,,,,"""[""histoire grecque""]""",
-413,Vème siècle av-jc,4,deuxième guerre contre Sparte,,,,"""[""histoire grecque""]""",
-411,Vème siècle av-jc,4,Régime des oligarques,,(Alcibiade élu stratège),,"""[""histoire grecque""]""",
-405,Vème siècle av-jc,4,défaite de Aigos-Potamos,,fin de la ligue de Délos et destruction du mur de protection d’Athènes),,"""[""histoire grecque""]""",
-405,Vème siècle av-jc,4,début de la tyrannie des 30,,,,"""[""histoire grecque""]""",
-403,Vème siècle av-jc,4,Rétablissement de la démocratie,,,,"""[""histoire grecque""]""",
-399,IVème siècle av-jc,5,Procès et mort de Socrate,,,PH,"""[""histoire grecque""]""",
-399,IVème siècle av-jc,5,Mort de Thucydide,,,,"""[""histoire grecque""]""",
-390,IVème siècle av-jc,5,Fondation de l’école cynique par Antisthène,,,PH,"""[""histoire grecque""]""",
-387,IVème siècle av-jc,5,Fondation de l’académie par Platon,,,PH,"""[""histoire grecque""]""",
-384,IVème siècle av-jc,5,Naissance d’Aristote,,,PH,"""[""histoire grecque""]""",
-372,IVème siècle av-jc,5,La République,Platon,,PH,"""[""histoire grecque""]""",
-370,IVème siècle av-jc,5,Crise intellectuelle de Platon,,Parménide et Sophiste,PH,"""[""histoire grecque""]""",
-370,IVème siècle av-jc,5,Mort de Démocrite,,(460-370),PH,"""[""histoire grecque""]""",
-348,IVème siècle av-jc,5,Mort de Platon,,,PH,"""[""histoire grecque""]""",
-346,IVème siècle av-jc,5,Perte indépendance des cités Grecques,,Paix avec la Macédoine,,"""[""histoire grecque"",""histoire d’Alexandre le Grand""]""",
-343,IVème siècle av-jc,5,Aristote devient précepteur d'Alexandre le Grand,,,,"""[""histoire grecque"",""histoire d’Alexandre le Grand""]""",
-338,IVème siècle av-jc,5,Bataille de Chéronée,,il n’y a plus que Sparte qui est libre,,"""[""histoire grecque"",""histoire d’Alexandre le Grand""]""",
-335,IVème siècle av-jc,5,Fondation du lycée,,,PH,"""[""histoire grecque""]""",
-332,IVème siècle av-jc,5,Fondation d’Alexandrie,,,,"""[""histoire d’Alexandre le Grand""]""",
